Artist,Song
Beyonce,Texas Hold 'Em
Jack Harlow,Lovin On Me
Teddy Swims,Lose Control
¥$: Kanye West & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,Carnival
Benson Boone,Beautiful Things
SZA,Snooze
Taylor Swift,Cruel Summer
Tate McRae,Greedy
Zach Bryan Featuring Kacey Musgraves,I Remember Everything
Doja Cat,Agora Hills
Ariana Grande,"Yes, And?"
Noah Kahan,Stick Season
Luke Combs,Fast Car
Tyla,Water
Morgan Wallen,Last Night
21 Savage,Redrum
Morgan Wallen,Thinkin' Bout Me
Taylor Swift,Is It Over Now? (Taylor's Version) [From The Vault]
Warren Zeiders,Pretty Little Poison
Miley Cyrus,Flowers
Doja Cat,Paint The Town Red
Dua Lipa,Houdini
Muni Long,Made For Me
Flo Milli,Never Lose Me
Xavi,La Diabla
Luke Combs,Where The Wild Things Are
Dua Lipa,Training Season
Cody Johnson,The Painter
Sabrina Carpenter,Feather
Billie Eilish,What Was I Made For?
Drake Featuring Sexyy Red & SZA,Rich Baby Daddy
Bryson Tiller,Whatever She Wants
HARDY,Truck Bed
Justin Timberlake,Selfish
Nicki Minaj Featuring Lil Uzi Vert,Everybody
Olivia Rodrigo,Vampire
Jessie Murph & Jelly Roll,Wild Ones
Victoria Monet,On My Mama
YG Marley,Praise Jah In The Moonlight
Jelly Roll With Lainey Wilson,Save Me
Tate McRae,Exes
Yeat,Breathe
Dua Lipa,Dance The Night
Jelly Roll,Need A Favor
JID Featuring 21 Savage & Baby Tate,Surround Sound
Nate Smith,World On Fire
Usher Featuring Lil Jon & Ludacris,Yeah!
Parker McCollum,Burn It Down
"Usher, Summer Walker & 21 Savage",Good Good
Xavi,La Victima
Djo,End Of Beginning
BossMan Dlow,Get In With Me
¥$: Kanye West & Ty Dolla $ign,Burn
Morgan Wallen Featuring Eric Church,Man Made A Bar
Beyonce,16 Carriages
Drake Featuring J. Cole,First Person Shooter
¥$: Kanye West & Ty Dolla $ign,Fuk Sumn
"The Weeknd, Jennie & Lily Rose Depp",One Of The Girls
¥$: Kanye West & Ty Dolla $ign,Back To Me
Rich Amiri,One Call
Karol G & Tiesto,Contigo
Chayce Beckham,23
Sophie Ellis-Bextor,Murder On The Dancefloor
Drake,You Broke My Heart
Ice Spice,Think U The Shit (Fart)
Nicki Minaj,FTCU
Travis Scott Featuring Playboi Carti,FE!N
Megan Thee Stallion,Hiss
Kane Brown,I Can Feel It
Don Toliver,Bandit
Morgan Wallen,Spin You Around (1/24)
310babii,Soak City
Noah Kahan,Forever
Thomas Rhett Featuring Morgan Wallen,Mamaw's House
4Batz,Act II: Date @ 8
Kali Uchis & Peso Pluma,Igual Que Un Angel
"21 Savage, Travis Scott & Metro Boomin",Nee-nah
Lainey Wilson,Wildflowers And Wild Horses
Peso Pluma & Anitta,Bellakeo
Fuerza Regida & Marshmello,Harley Quinn
Jung Kook,Standing Next To You
Gunna,Bittersweet
Drake Featuring Yeat,IDGAF
Good Neighbours,Home
¥$: Kanye West & Ty Dolla $ign Featuring Lil Durk & Bump J,Vultures
GloRilla,Yeah Glo!
Dylan Gossett,Coal
BigXthaPlug,Mmhmm
Yeat,Psycho CEO
Bad Bunny & Feid,Perro Negro
Chris Brown Featuring Davido & Lojay,Sensational
Zach Bryan,Oklahoma Smokeshow
Fuerza Regida,Tu Name
¥$: Kanye West & Ty Dolla $ign,Do It
Offset & Don Toliver,Worth It
¥$: Kanye West & Ty Dolla $ign Featuring North West,Talking
Bad Bunny,Monaco
Bailey Zimmerman,Where It Ends
The Red Clay Strays,Wondering Why
Noah Kahan With Hozier,Northern Attitude
