term,Year,Session,emplid,Course,grade,status,degree,Major1,Major2
201902,2019,Spring,640,3130,A-,Pass,CS,COMPSC-BS,""
201902,2019,Spring,1014,3130,B+,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,1015,3130,A-,Pass,"",FILM-BA/FILMPROD,""
201902,2019,Spring,1016,3130,B,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,197,3130,B+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,791,3130,A+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,514,3130,A,Pass,CS,COMPSC-BS,""
201902,2019,Spring,198,3130,B,Pass,"",NONDG-UG,""
201902,2019,Spring,360,3130,A+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,1017,3130,A-,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,1018,3130,A,Pass,CS,COMPSC-BS,""
201902,2019,Spring,857,3130,B+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,598,3130,A,Pass,CS,COMPSC-BS,""
201902,2019,Spring,1019,3130,B-,Pass,CS,COMPSC-BS,""
201902,2019,Spring,468,3130,A+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,1020,3130,C-,Fail,CS,COMPSC-BS,""
201902,2019,Spring,362,3130,A,Pass,"",MATH-BS/GENMATH,""
201902,2019,Spring,994,3130,C+,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,174,3130,C,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,1021,3130,A,Pass,CS,COMPSC-BS,""
201902,2019,Spring,632,3130,A,Pass,MMC,MULTI-BS,""
201902,2019,Spring,1022,3130,C,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,1023,3130,A-,Pass,CS,COMPSC-BS,""
201902,2019,Spring,379,3130,A,Pass,CS,COMPSC-BS,""
201902,2019,Spring,576,3130,B-,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,783,3130,A-,Pass,CS,COMPSC-BS,""
201902,2019,Spring,267,3130,B-,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,1000,3130,A,Pass,CS,COMPSC-BS,""
201902,2019,Spring,528,3130,B+,Pass,IS,INFOSCI-BS,BMF-BS
201902,2019,Spring,773,3130,C+,Pass,"",PSYCH-BS,""
201902,2019,Spring,990,3130,B-,Pass,CS,COMPSC-BS,""
201902,2019,Spring,774,3130,B,Pass,CS,COMPSC-BS,""
201902,2019,Spring,275,3130,B-,Pass,CS,COMPSC-BS,""
201902,2019,Spring,738,3130,A,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,788,3130,A,Pass,CS,COMPSC-BS,""
201902,2019,Spring,1024,3130,A,Pass,CS,COMPSC-BS,""
201902,2019,Spring,1025,3130,A,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,1026,3130,A+,Pass,Grad-HI,HLTHINF-MS,""
201902,2019,Spring,790,3130,B,Pass,MMC,COMPSC-BS,MULTI-BS
201902,2019,Spring,778,3130,A+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,1027,3130,C+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,135,3130,D+,Fail,IS,INFOSCI-BS,""
201902,2019,Spring,136,3130,B-,Pass,CS,COMPSC-BS,""
201902,2019,Spring,517,3130,A-,Pass,MMC,MULTI-BS,COMPSC-BS
201902,2019,Spring,1028,3130,W,Drop,IS,INFOSCI-BS,""
201902,2019,Spring,164,3130,B,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,361,3130,C,Pass,CS,COMPSC-BS,""
201902,2019,Spring,469,3130,F,Fail,MMC,MULTI-BS,""
201902,2019,Spring,21,3130,F,Fail,IS,INFOSCI-BS,""
201902,2019,Spring,771,3130,B-,Pass,CS,COMPSC-BS,""
201902,2019,Spring,237,3130,C+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,524,3130,B-,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,604,3130,D-,Fail,MMC,MULTI-BS,""
201902,2019,Spring,26,3130,C,Pass,CS,COMPSC-BS,""
201902,2019,Spring,1029,3130,F,Fail,IS,INFOSCI-BS,""
201902,2019,Spring,1030,3130,F,Fail,IS,INFOSCI-BS,""
201902,2019,Spring,772,3130,W,Drop,CS,COMPSC-BS,""
201902,2019,Spring,999,3130,D+,Fail,IS,INFOSCI-BS,""
201902,2019,Spring,365,3130,B,Pass,CS,COMPSC-BS,""
201902,2019,Spring,785,3130,A-,Pass,CS,COMPSC-BS,""
201902,2019,Spring,611,3130,B+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,117,3130,C+,Pass,"",UNDECL-BA,""
201902,2019,Spring,451,3130,B+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,786,3130,C+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,366,3130,D,Fail,CS,COMPSC-BS,""
201902,2019,Spring,553,3130,A,Pass,CS,COMPSC-BS,""
201902,2019,Spring,454,3130,B+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,554,3130,B-,Pass,CS,COMPSC-BS,""
201902,2019,Spring,787,3130,B,Pass,CS,PSYCH-BS,COMPSC-BS
201902,2019,Spring,775,3130,A+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,358,3130,A-,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,796,3130,F,Fail,CS,COMPSC-BS,""
201902,2019,Spring,560,3130,A+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,247,3130,B,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,777,3130,A+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,501,3130,A,Pass,"",UNDECL-BA,""
201902,2019,Spring,1031,3130,F,Fail,CS,COMPSC-BS,""
201902,2019,Spring,1032,3130,A+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,487,3130,A,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,488,3130,F,Fail,CS,COMPSC-BS,""
201902,2019,Intersession,1033,1170,B+,Pass,CS,COMPSC-BS,""
201902,2019,Intersession,1034,1170,A,Pass,"",MATH-BS/APPLDMTH,FINMATH-BS
201902,2019,Intersession,1035,1170,C,Pass,CS,COMPSC-BS,""
201902,2019,Intersession,1036,1170,F,Fail,IS,INFOSCI-BS,""
201902,2019,Intersession,1037,1170,A,Pass,CS,COMPSC-BS,""
201902,2019,Intersession,1038,1170,W,Drop,"",BIO-BS,""
201902,2019,Intersession,1039,1170,B+,Pass,MMC,MULTI-BS,""
201902,2019,Intersession,772,1170,F,Fail,CS,COMPSC-BS,""
201902,2019,Intersession,1040,1170,A,Pass,CS,COMPSC-BS,""
201902,2019,Intersession,1041,1170,D,Fail,CS,COMPSC-BS,""
201902,2019,Spring,1042,1115,WD,Drop,"",GEO-BA,""
201902,2019,Spring,1043,1115,WD,Drop,IS,INFOSCI-BS,""
201902,2019,Spring,1044,1115,A+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,747,1115,W,Drop,"",MATHTCH-BA,""
201902,2019,Spring,1045,1115,W,Drop,"",PSYCH-BS,""
201902,2019,Spring,1046,1115,F,Fail,"",MATH-BA,""
201902,2019,Spring,1047,1115,B,Pass,CS,COMPSC-BS,""
201902,2019,Spring,654,1115,A,Pass,CS,COMPSC-BS,""
201902,2019,Spring,1048,1115,F,Fail,CS,COMPSC-BS,""
201902,2019,Spring,1049,1115,B,Pass,IS,INFOSCI-BS,""
201902,2019,Spring,1050,1115,B,Pass,"",MATHTCH-BA,""
201902,2019,Spring,268,1115,D,Fail,CS,COMPSC-BS,""
201902,2019,Spring,610,1115,C+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,836,1115,F,Fail,CS,COMPSC-BS,""
201902,2019,Spring,148,1115,D,Fail,"",UNDECL-BA,""
201902,2019,Spring,1051,1115,A,Pass,CS,COMPSC-BS,""
201902,2019,Spring,1052,1115,D,Fail,CS,COMPSC-BS,""
201902,2019,Spring,1053,1115,W,Drop,"",UNDECL-BA,""
201902,2019,Spring,1054,1115,C,Pass,CS,COMPSC-BS,""
201902,2019,Spring,1055,1115,B+,Pass,"",UNDECL-BA,""
201902,2019,Spring,1056,1115,A+,Pass,CS,COMPSC-BS,""
201902,2019,Spring,1057,1115,W,Drop,"",BMF-BS,""
201902,2019,Spring,1058,1115,F,Fail,"",TVR-BA,""
201902,2019,Spring,1059,1115,F,Fail,"",UNDECL-BA,""
201902,2019,Spring,850,1115,D,Fail,"",UNDECL-BA,""
